All,Allt
"Clear Shopping Cart","Tæma körfu"
Login,Innskráning
"Terms and Conditions",Skilmálar
"Page not found.","Síða fannst ekki."
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Takk fyrir að hafa samband við okkur með athugasemdum og spurningum. Við munum svara þér mjög fljótlega."
"Name is missing","Nafn vantar"
"Comment is missing","Athugasemd vantar"
"Invalid email address","Ógilt rafpóstfang"
"Write Us","Skrifaðu okkur"
Name,Nafn
Email,Rafpóstur
"Phone Number",Símanúmer
Submit,Senda
Phone,Sími
Message,Skilaboð
"Contact Us","Hafa samband við okkur"
"Name: %name","Nafn: %name"
"Login Options",Innskráningsmöguleikar
"Select Search Type","Veldu leitaraðferð"
"Back to Shopping Cart","Tilbaka til körfu"
Help,Hjálp
"Search Terms",Leitarorð
Orders,Pantanir
"Submit Comment","Senda athugasemd"
"Submit Order","Senda pöntun"
Cancel,"Hætta við"
"Payment Method",Greiðsluaðferð
"Please select a customer","Vinsamlega veldu viðskiptavin"
"Create New Customer","Skapa nýjan viðskiptavin"
From,Frá
To,Til
Configure,Stilla
Product,Vara
Price,Verð
Select,Velja
Quantity,Magn
"Search Term",Leitarorð
"New Search","Ný leit"
"Remove %1","Fjarlægja %1"
Options,Valmöguleikar
"records found","færslur fundnar"
selected,valið
of,af
Filters,Síur
Add,"Bæta við"
"Something went wrong.","Eitthvað fór úrskeiðis."
Yes,Já
options,valmöguleikar
Selected,Valið
"Select All","Velja allt"
"Deselect All","Afvelja allt"
from,frá
to,til
Back,"Til baka"
"Delete Role","Eyða hlutverki"
"Are you sure you want to do this?","Ert þú viss um að þú viljir gera þetta?"
"Save Role","Vista hlutverk"
Roles,Hlutverk
"Add New Role","Bæta við nýju hlutverki"
"Role Information",Hlutverksupplýsingar
"Role Users",Hlutverksnotendur
"User ID",Notandaauðkenni
"User Name",Notandanafn
"First Name",Fornafn
"Last Name",Eftirnafn
Status,Staða
Active,Virkur
Inactive,Óvirkur
"Role Info",Hlutverksuppl.
"Role Name",Hlutverksnafn
"Your Password","Lykilorðið þitt"
"Add New User","Bæta við nýjum notanda"
Users,Notendur
"Save User","Vista notanda"
"Delete User","Eyða notanda"
"Edit User '%1'","Breyta notandanum ‚%1‘"
"New User","Nýr notandi"
"User Email",Notandarafpóstur
Password,Aðgangsorð
"New Password","Nýtt aðgangsorð"
"Password Confirmation",Aðgangsorðsstaðfesting
Role,Hlutverk
"User Information",Notandaupplýsingar
"User Info",Notandauppl.
"User Role",Notandahlutverk
"Please correct this email address:","Vinsamlega leiðréttu þetta rafpóstfang:"
"Password Help","Passorð hjálp"
"Email address",Rafpóstfang
"Reset Password","Endurstilla aðgangsorð"
Resources,Auðlindir
"Thank you,","Takk fyrir,"
"New %changes for %user_name","Nýjar %changes fyrir %user_name"
"Hello,","Halló,"
"Thanks,","Takk,"
"All Users","Allir notendur"
"User Roles",Notandahlutverk
"Password Change",Aðgangsorðsbreyting
Unlock,Aflæsa
ID,Auðkenni
Username,Notandanafn
"Last login","Siðasta innskráning"
Failures,Mistök
Unlocked,Aflæst
Summary,Samantekt
Settings,Stillingar
Previous,Fyrri
"Remove This Item","Fjarlægja þetta atriði"
"Clear All","Hreinsa allt"
"Shopping Options",Verslunarvalmöguleikar
"Welcome to %store_name","Velkomin(n) í %store_name"
"Welcome to %store_name.","Velkomin(n) í %store_name."
Email:,Rafpóstur:
Password:,Aðgangsorð:
"Quick Checkout","Hröð afgreiðsla"
"Proceed through checkout faster","Fara gegnum afgreiðslu hraðar"
"Order Status",Pöntunarstaða
"Manage Addresses","Stjórna staðföngum"
"Order History",Pöntunarsaga
Footer,Fótur
"<a href=%url_about_us>About Us</a>","<a href=%url_about_us>Um okkur</a>"
"<a href=url_customer_service>Customer Service</a>","<a href=url_customer_service>Viðskiptavinaþjónusta</a>"
"Hours of Operation:<br /><span class=""no-link"">%store_hours</span>.","Opnunartími:<br /><span class=""no-link"">%store_hours</span>."
"Shipping Info",Sendingaruppl.
"Shipping Method",Sendingaraðferð
